Resolution,Date,Subject,Mentions,WikiText,WikiLink,topicID
558,13-Dec-84,South Africa,"[' The Council also called for States and organisations not to receive South African made weapons and military vehicles, and requested the Secretary-General to report back on the implementation of the resolution by no later than 31 December 1985']","UN Security Council Resolution 558 ""Boycott apartheid"" bus in London, UK (1989) Date 13 December 1984 Meeting no. 2,564 Code S/RES/558 ( Document ) Subject South Africa Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Burkina Faso Egypt India Malta Netherlands Nicaragua Pakistan Peru Ukrainian SSR Zimbabwe United Nations Security Council resolution 558 , adopted unanimously on 13 December 1984, after recalling resolutions 418 (1977) and 421 (1977) which imposed a compulsory arms embargo on South Africa and established a committee to monitor it, the Council stressed the continuing need for all Member States and international organisations to observe the arms embargo. The Council also called for States and organisations not to receive South African made weapons and military vehicles, and requested the Secretary-General to report back on the implementation of the resolution by no later than 31 December 1985. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_558,85
559,14-Dec-84,Cyprus,"[' 2,565 Code S/RES/559 ( Document ) Subject Cyprus Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Burkina Faso Egypt India Malta Netherlands Nicaragua Pakistan Peru Ukrainian SSR Zimbabwe United Nations Security Council resolution 559 , adopted unanimously on 14 December 1984, noted a report of the Secretary-General that, due to the existing circumstances, the presence of the United Nations Peacekeeping Force in Cyprus (UNFICYP) would continue to be essential for a peaceful settlement', ' The Council expressed its desire for all parties to support the ten-point agreement for the resumption of intercommunal talks, and asked the Secretary-General to report back again before 31 May 1985, to follow the implementation of the resolution']","UN Security Council Resolution 559 UNFICYP buffer zone Date 14 December 1984 Meeting no. 2,565 Code S/RES/559 ( Document ) Subject Cyprus Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Burkina Faso Egypt India Malta Netherlands Nicaragua Pakistan Peru Ukrainian SSR Zimbabwe United Nations Security Council resolution 559 , adopted unanimously on 14 December 1984, noted a report of the Secretary-General that, due to the existing circumstances, the presence of the United Nations Peacekeeping Force in Cyprus (UNFICYP) would continue to be essential for a peaceful settlement. The Council expressed its desire for all parties to support the ten-point agreement for the resumption of intercommunal talks, and asked the Secretary-General to report back again before 31 May 1985, to follow the implementation of the resolution. The Council reaffirmed its previous resolutions, including Resolution 365 (1974), expressed its concern over the situation, urged the involved parties to work together toward peace and once more extended the stationing of the Force in Cyprus, established in Resolution 186 (1964), until 15 June 1985. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_559,29
561,17-Apr-85,Israel–Lebanon,"[' 2,575 Code S/RES/561 ( Document ) Subject Israel–Lebanon Voting summary 13 voted for None voted against 2 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 561 , adopted on 17 April 1985, after recalling previous resolutions on the topic, as well as studying the report by the Secretary-General on the United Nations Interim Force in Lebanon (UNIFIL) approved in 426 (1978), the Council decided to extend the mandate of UNIFIL for a further six months until 19 October 1985', ' The Council then reemphasised the mandate of the Force and requested the Secretary-General to report back on the progress made with regard to the implementation of resolutions 425 (1978) and 426 (1978)']","UN Security Council Resolution 561 UNIFIL zone, alongside UNDOF Date 17 April 1985 Meeting no. 2,575 Code S/RES/561 ( Document ) Subject Israel–Lebanon Voting summary 13 voted for None voted against 2 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 561 , adopted on 17 April 1985, after recalling previous resolutions on the topic, as well as studying the report by the Secretary-General on the United Nations Interim Force in Lebanon (UNIFIL) approved in 426 (1978), the Council decided to extend the mandate of UNIFIL for a further six months until 19 October 1985. The Council then reemphasised the mandate of the Force and requested the Secretary-General to report back on the progress made with regard to the implementation of resolutions 425 (1978) and 426 (1978). The resolution was adopted by 13 votes to none, with two abstentions from the Ukrainian Soviet Socialist Republic and Soviet Union . See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_561,51
563,21-May-85,Israel–Syria,"[' 2,581 Code S/RES/563 ( Document ) Subject Israel–Syria Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 563 , adopted unanimously on 21 May 1985, considered a report by the Secretary-General regarding the United Nations Disengagement Observer Force ', ' The Council noted its efforts to establish a durable and just peace in the Middle East but also expressed its concern over the prevailing state of tension in the area', ' The resolution decided to call upon the parties concerned to immediately implement Resolution 338 (1973), it renewed the mandate of the Observer Force for another six months until 30 November 1985 and requested that the Secretary-General submit a report on the situation at the end of that period']","UN Security Council Resolution 563 Golan Heights Date 21 May 1985 Meeting no. 2,581 Code S/RES/563 ( Document ) Subject Israel–Syria Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 563 , adopted unanimously on 21 May 1985, considered a report by the Secretary-General regarding the United Nations Disengagement Observer Force . The Council noted its efforts to establish a durable and just peace in the Middle East but also expressed its concern over the prevailing state of tension in the area. The resolution decided to call upon the parties concerned to immediately implement Resolution 338 (1973), it renewed the mandate of the Observer Force for another six months until 30 November 1985 and requested that the Secretary-General submit a report on the situation at the end of that period. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_563,52
564,31-May-85,Lebanon,"[' It also called on the Government of Lebanon and Secretary-General to ensure the implementation of Resolution 564, of which the Council would closely follow']","UN Security Council Resolution 564 Lebanon Date 31 May 1985 Meeting no. 2,582 Code S/RES/564 ( Document ) Subject Lebanon Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 564 , adopted unanimously on 31 May 1985, after noting the statement made by the President of the Security Council , the Council expressed alarm and concern at the violence involving the civilian population in Lebanon , including at Palestinian refugee camps resulting in casualties. The Council urged international organisations, such as the International Committee of the Red Cross and United Nations Relief and Works Agency for Palestine Refugees in the Near East to assist in providing humanitarian assistance to the civilian population. It also called on the Government of Lebanon and Secretary-General to ensure the implementation of Resolution 564, of which the Council would closely follow. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_564,54
565,14-Jun-85,Cyprus,"[' 2,591 Code S/RES/565 ( Document ) Subject Cyprus Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 565 , adopted unanimously on 14 June 1985, noted a report of the Secretary-General that, due to the existing circumstances, the presence of the United Nations Peacekeeping Force in Cyprus (UNFICYP) would continue to be essential for a peaceful settlement', ' The Council expressed its desire for all parties to support the ten-point agreement for the resumption of intercommunal talks, and asked the Secretary-General to report back again before 30 November 1985, to follow the implementation of the resolution']","UN Security Council Resolution 565 UNFICYP buffer zone Date 14 June 1985 Meeting no. 2,591 Code S/RES/565 ( Document ) Subject Cyprus Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 565 , adopted unanimously on 14 June 1985, noted a report of the Secretary-General that, due to the existing circumstances, the presence of the United Nations Peacekeeping Force in Cyprus (UNFICYP) would continue to be essential for a peaceful settlement. The Council expressed its desire for all parties to support the ten-point agreement for the resumption of intercommunal talks, and asked the Secretary-General to report back again before 30 November 1985, to follow the implementation of the resolution. The Council reaffirmed its previous resolutions, including Resolution 365 (1974), expressed its concern over the situation, urged the involved parties to work together toward peace and once more extended the stationing of the Force in Cyprus, established in Resolution 186 (1964), until 15 December 1985. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_565,29
566,19-Jun-85,Namibia,"["" The resolution continued by outlining the Secretary-General 's role in consultations with the Government of South Africa and resolving issues related to the implementation of Resolution 435, urging South Africa to cooperate with him, and that failure to do so will compel the Security Council to take further action under Chapter VII ""]","UN Security Council Resolution 566 Namibia Date 19 June 1985 Meeting no. 2,595 Code S/RES/566 ( Document ) Subject Namibia Voting summary 13 voted for None voted against 2 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 566 , adopted on 19 June 1985, after recalling resolutions 269 (1969), 276 (1970), 301 (1971), 385 (1976), 431 (1978), 432 (1978), 435 (1978), 439 (1978), 532 (1983) and 539 (1983), the Council expressed concern at the tension and instability caused the continued occupation of Namibia (then known as South West Africa ) by South Africa, noting the apartheid policies implemented in the territory and that the territory was used as a springboard for attacks on other southern African countries . The Council stated its international responsibility over Namibia, noting that 1985 marked the 40th anniversary of the founding of the United Nations, as well as the 25th anniversary of the adoption of the Declaration on the Granting of Independence to Colonial Countries and Peoples , expressing the concern that the question of Namibia had yet to be resolved. Resolution 566, welcoming the worldwide campaign against apartheid, condemned South Africa for its continuing illegal occupation of Namibia and its defiance of resolutions on the topic. The resolution regarded the interim government in Windhoek as illegal, and declared that no recognition will be offered to it. It also supported the Namibian people in their "" legitimate struggle "", asking Member States to provide moral and material support to them. The Council went on to reject South Africa's efforts to link the independence of Namibia to irrelevant or extraneous issues incompatible with Resolution 435, and condemning all obstruction of it. Therefore, the Council insisted the United Nations plan is the only internationally accepted basis for a peaceful settlement of the issue. The resolution continued by outlining the Secretary-General 's role in consultations with the Government of South Africa and resolving issues related to the implementation of Resolution 435, urging South Africa to cooperate with him, and that failure to do so will compel the Security Council to take further action under Chapter VII . Finally, the Council reminded Member States to continue to enforce the arms embargo against South Africa, including restrictions on investments , maritime and aerial relations, sport and cultural relations , and probitation of the sale of krugerrands . Resolution 566 was adopted by 13 votes to none, with two abstentions from the United Kingdom and United States. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_566,64
567,20-Jun-85,Angola-South Africa,[' It also condemned South Africa for using occupied Namibia (then South West Africa) as a springboard for the attacks and requested the Secretary-General continue to monitor the situation'],"UN Security Council Resolution 567 South African border operations Date 20 June 1985 Meeting no. 2,597 Code S/RES/567 ( Document ) Subject Angola-South Africa Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 567 , adopted unanimously on 20 June 1985, after hearing representations from the People's Republic of Angola , the Council recalled resolutions including 387 (1976), 428 (1978), 447 (1979), 454 (1979), 475 (1980), 545 (1983) and 546 (1984), and expressed its concern at the continuing attacks on the country (in the province of Cabinda ) by South Africa through occupied South West Africa . The Council demanded South Africa cease the attacks and respect Angola's sovereignty and territorial integrity, noting that Angola is entitled to the right of self-defense and to compensation for the attacks. It also condemned South Africa for using occupied Namibia (then South West Africa) as a springboard for the attacks and requested the Secretary-General continue to monitor the situation. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_567,5
568,21-Jun-85,Botswana-South Africa,"["" Finally, the Council requested the Secretary-General to send a mission to Botswana to assess the damage and to propose methods to strengthen Botswana's capacity to provide shelter to South African refugees""]","UN Security Council Resolution 568 Botswana Date 21 June 1985 Meeting no. 2,599 Code S/RES/568 ( Document ) Subject Botswana-South Africa Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 568 , adopted unanimously on 21 June 1985, after hearing representations from Botswana , the Council condemned the Raid on Gaborone by South Africa, expressing its shock and indignation at the loss of life and damage to property and considered the attack as a ""gross violation of the country's sovereignty and territorial integrity"". [1] The Council further condemned all acts of aggression, provocation and harassment including kidnapping, murder and blackmail against Botswana by South Africa, calling for an immediate cessation of these activities. It also condemned South Africa's practice of ""hot pursuit"" against countries in southern Africa. The resolution then demanded compensation for Botswana and other countries affected by the attacks, affirming their right to give sanctuary to those fleeing apartheid . Finally, the Council requested the Secretary-General to send a mission to Botswana to assess the damage and to propose methods to strengthen Botswana's capacity to provide shelter to South African refugees. It also requested international organisations to extend assistance to the country. Resolution 568 was drafted by Burkina Faso , Egypt, India , Madagascar, Peru and Trinidad and Tobago . [2] See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_568,14
569,26-Jul-85,South Africa,"[' Finally, Resolution 569 requested the Secretary-General to issue a report on the implementation of the current resolution']","UN Security Council Resolution 569 Apartheid-era sign on a beach (1989) Date 26 July 1985 Meeting no. 2,602 Code S/RES/569 ( Document ) Subject South Africa Voting summary 13 voted for None voted against 2 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 568 , adopted on 26 July 1985, after expressing its outrage and concern at the suffering caused by the apartheid system in South Africa, the Council further condemned the repressive policies of the apartheid system including murders and forced removals, as well as the state of emergency imposed in 36 districts in the country, demanding it be lifted immediately. The Council went on to call for the release of all political prisoners in the country, including Nelson Mandela , and that the establishment of a free, democratic society can lead to a solution. It also urged Member States to, in addition to the compulsory arms embargo , participate in restrictions on investments , maritime and aerial relations, sport and cultural relations , and probitation of the sale of krugerrands , commending Member States that had already adopted such procedures. Finally, Resolution 569 requested the Secretary-General to issue a report on the implementation of the current resolution. The resolution was adopted by 13 votes to none, with abstentions from the United Kingdom and United States. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_569,85
572,30-Sep-85,Botswana-South Africa,"[' 2,609 Code S/RES/572 ( Document ) Subject Botswana-South Africa Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 572 , adopted unanimously on 30 September 1985, after recalling Resolution 568 (1985) and noting a report from a mission to Botswana appointed by the Secretary-General , the Council endorsed the report regarding a South African attack on the country', ' The resolution demanded compensation for Botswana, and requested international assistance from Member States and organisations for the country in the areas identified in the report', ' It also asked the Secretary-General to keep the situation under observation']","UN Security Council Resolution 572 Botswana Date 30 September 1985 Meeting no. 2,609 Code S/RES/572 ( Document ) Subject Botswana-South Africa Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 572 , adopted unanimously on 30 September 1985, after recalling Resolution 568 (1985) and noting a report from a mission to Botswana appointed by the Secretary-General , the Council endorsed the report regarding a South African attack on the country. The resolution demanded compensation for Botswana, and requested international assistance from Member States and organisations for the country in the areas identified in the report. It also asked the Secretary-General to keep the situation under observation. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_572,14
573,04-Oct-85,Israel–Tunisia,"[' Finally, Resolution 573 requested the Secretary-General to submit a report on the implementation of the current resolution by 30 November 1985']","UN Security Council Resolution 573 Tunisia Date 4 October 1985 Meeting no. 2,615 Code S/RES/573 ( Document ) Subject Israel–Tunisia Voting summary 14 voted for None voted against 1 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 573 , adopted on 4 October 1985, after hearing a complaint by Tunisia , the Council condemned an air raid on the country by the Air Force of Israel on 1 October. The Palestine Liberation Organization (PLO) headquarters was targeted in the attack, after Israel had responded to the murder of three Israeli citizens in Cyprus . [1] The Council reminded States to refrain from threats or the use of force in their international relations , in accordance with the United Nations Charter . Considering that Israel had admitted to the attack immediately after carrying it out, the Council demanded that Israel refrain from further such attacks, urging Member States to dissuade Israel from doing so. It also noted that Tunisia had the right to reparations considering the loss of life and material damage caused. Finally, Resolution 573 requested the Secretary-General to submit a report on the implementation of the current resolution by 30 November 1985. The resolution was adopted by 14 votes to none, with one abstention from the United States. See also Arab–Israeli conflict List of United Nations Security Council Resolutions 501 to 600 (1982–1987) Operation Wooden Leg United Nations Security Council Resolution 611",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_573,53
575,17-Oct-85,Israel–Lebanon,"[' 2,623 Code S/RES/575 ( Document ) Subject Israel–Lebanon Voting summary 13 voted for None voted against 2 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 575 , adopted on 17 October 1985, after recalling previous resolutions on the topic, as well as studying the report by the Secretary-General on the United Nations Interim Force in Lebanon (UNIFIL) approved in 426 (1978), the Council decided to extend the mandate of UNIFIL for a further six months until 19 April 1986', ' The Council then reemphasised the mandate of the Force and requested the Secretary-General to report back on the progress made with regard to the implementation of resolutions 425 (1978) and 426 (1978)']","UN Security Council Resolution 575 UNIFIL zone, alongside UNDOF Date 17 October 1985 Meeting no. 2,623 Code S/RES/575 ( Document ) Subject Israel–Lebanon Voting summary 13 voted for None voted against 2 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 575 , adopted on 17 October 1985, after recalling previous resolutions on the topic, as well as studying the report by the Secretary-General on the United Nations Interim Force in Lebanon (UNIFIL) approved in 426 (1978), the Council decided to extend the mandate of UNIFIL for a further six months until 19 April 1986. The Council then reemphasised the mandate of the Force and requested the Secretary-General to report back on the progress made with regard to the implementation of resolutions 425 (1978) and 426 (1978). The resolution was adopted by 13 votes to none, with two abstentions from the Ukrainian Soviet Socialist Republic and Soviet Union . See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_575,51
576,21-Nov-85,Israel–Syria,"[' 2,630 Code S/RES/576 ( Document ) Subject Israel–Syria Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 576 , adopted unanimously on 21 November 1985, considered a report by the Secretary-General regarding the United Nations Disengagement Observer Force ', ' The Council noted its efforts to establish a durable and just peace in the Middle East but also expressed its concern over the prevailing state of tension in the area', ' The resolution decided to call upon the parties concerned to immediately implement Resolution 338 (1973), it renewed the mandate of the Observer Force for another six months until 31 May 1986 and requested that the Secretary-General submit a report on the situation at the end of that period']","UN Security Council Resolution 576 Golan Heights Date 21 November 1985 Meeting no. 2,630 Code S/RES/576 ( Document ) Subject Israel–Syria Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 576 , adopted unanimously on 21 November 1985, considered a report by the Secretary-General regarding the United Nations Disengagement Observer Force . The Council noted its efforts to establish a durable and just peace in the Middle East but also expressed its concern over the prevailing state of tension in the area. The resolution decided to call upon the parties concerned to immediately implement Resolution 338 (1973), it renewed the mandate of the Observer Force for another six months until 31 May 1986 and requested that the Secretary-General submit a report on the situation at the end of that period. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_576,52
577,06-Dec-85,Angola-South Africa,"[' Finally, the Council required the Secretary-General to submit a report on the implementation of the current resolution no later than 30 June 1986']","UN Security Council Resolution 577 South African border operations Date 6 December 1985 Meeting no. 2,631 Code S/RES/577 ( Document ) Subject Angola-South Africa Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 577 , adopted unanimously on 6 December 1985, after reaffirming Resolution 571 (1985), the Council endorsed a report by the Security Council Commission of Investigation, condemning the regime in South Africa for its continued and unprovoked attacks against the People's Republic of Angola through the occupied territory of South West Africa . The resolution demanded South Africa withdraw its troops from Angolan territory and to respect the sovereignty of Angola. The Council reaffirmed the right of Angola to claim compensation for the attacks due to the loss of life and damage to property. It also, once again, urgently requested Member States and international organisations assist in the reconstruction of economic infrastructure in Angola. Finally, the Council required the Secretary-General to submit a report on the implementation of the current resolution no later than 30 June 1986. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_577,5
578,12-Dec-85,Cyprus,"[' 2,635 Code S/RES/578 ( Document ) Subject Cyprus Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 578 , adopted unanimously on 12 December 1985, noted a report of the Secretary-General that due to the existing circumstances, the presence of the United Nations Peacekeeping Force in Cyprus (UNFICYP) would continue to be essential for a peaceful settlement', ' The Council expressed its desire for all parties to support the ten-point agreement for the resumption of intercommunal talks and asked the Secretary-General to report back again before 31 May 1986 to follow the implementation of the resolution']","UN Security Council Resolution 578 UNFICYP buffer zone Date 12 December 1985 Meeting no. 2,635 Code S/RES/578 ( Document ) Subject Cyprus Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 578 , adopted unanimously on 12 December 1985, noted a report of the Secretary-General that due to the existing circumstances, the presence of the United Nations Peacekeeping Force in Cyprus (UNFICYP) would continue to be essential for a peaceful settlement. The Council expressed its desire for all parties to support the ten-point agreement for the resumption of intercommunal talks and asked the Secretary-General to report back again before 31 May 1986 to follow the implementation of the resolution. The Council reaffirmed its previous resolutions including Resolution 365 (1974) and expressed its concern over the situation. The Council urged the involved parties to work together toward peace and once more extended the stationing of the Force in Cyprus, established in Resolution 186 (1964), until 15 June 1986. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_578,29
580,30-Dec-85,Lesotho–South Africa,"[' Lastly, the resolution required the Secretary-General to establish a presence in Lesotho compromising of one or two civilians in Maseru for the purposes of keeping him informed on developments']","UN Security Council Resolution 580 Lesotho–South Africa border Date 30 December 1985 Meeting no. 2,639 Code S/RES/580 ( Document ) Subject Lesotho–South Africa Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Burkina Faso Denmark Egypt India Madagascar Peru Thailand Trinidad and Tobago Ukrainian SSR United Nations Security Council resolution 580 , adopted unanimously on 30 December 1985, having heard representations from Lesotho and recalling Resolution 527 (1982), the Council condemned the recent attacks on the Kingdom of Lesotho by South Africa, resulting in loss of life and damage to property on 19 December, in which several South African refugees were murdered in Lesotho's capital Maseru by the South African Defence Force . [1] The Council demanded South Africa pay compensation to Lesotho, calling upon all parties concerned to normalise their relations and to apply established channels of communication on matters of mutual concern in a peaceful manner. It reminded South Africa to live up to its commitments not to destabilise neighbouring countries, and to begin the process of dismantling apartheid . The resolution then requested Member States and international organisations provide economic assistance to Lesotho due to the damage caused by the attacks. Lastly, the resolution required the Secretary-General to establish a presence in Lesotho compromising of one or two civilians in Maseru for the purposes of keeping him informed on developments. It also asked him to report to the Security Council as appropriate on developments in the region. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_580,56
581,13-Feb-86,South Africa,"[' Finally, Resolution 581 condemned South Africa for its disregard of United Nations resolutions on the topic, commended the front-line states for providing sanctuary to refugees and requested the Secretary-General to continue to monitor the situation']","UN Security Council Resolution 581 Southern Africa Date 13 February 1986 Meeting no. 2,662 Code S/RES/581 ( Document ) Subject South Africa Voting summary 13 voted for None voted against 2 abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Bulgaria Rep. of the Congo Denmark Ghana Madagascar Thailand Trinidad and Tobago United Arab Emirates Venezuela United Nations Security Council resolution 581 , adopted on 13 February 1986, after hearing representations from Sudan and the front-line states and reaffirming resolutions 567 (1985), 568 (1985), 571 (1985), 572 (1985) and 580 (1985), the Council strongly condemned "" racist South Africa"" for its recent threats to perpetrate acts of aggression against neighbouring countries in southern Africa. The Council deplored the violence in the region, warning South Africa against committing any further acts of aggression, as well as condemning other Member States' assistance to South Africa that could be used to destabilise other countries. It also called on other states to pressure South Africa to make it desist from further such acts. As with other previous resolutions, Resolution 581 demanded South Africa eradicate apartheid , including the dismantling of the bantustans , removing bans and restrictions on anti-apartheid demonstrations, organisations, individuals and news media, allowing the return of exiles, and ending the violence against and repression of the black people and other opponents of apartheid. It also called for all political prisoners to be released. Finally, Resolution 581 condemned South Africa for its disregard of United Nations resolutions on the topic, commended the front-line states for providing sanctuary to refugees and requested the Secretary-General to continue to monitor the situation. The resolution was adopted by 13 votes to none against, with two abstentions from the United Kingdom and United States. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_581,85
582,24-Feb-86,Iran–Iraq,[' It also urged both parties to submit all aspects of the conflict immediately to mediation and requested the Secretary-General Javier Pérez de Cuéllar to continue his efforts in the mediation process'],"UN Security Council Resolution 582 Iraqi prisoners of war in Iran Date 24 February 1986 Meeting no. 2,666 Code S/RES/582 ( Document ) Subject Iran–Iraq Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France United Kingdom United States Soviet Union Non-permanent members Australia Bulgaria Rep. of the Congo Denmark Ghana Madagascar Thailand Trinidad and Tobago United Arab Emirates Venezuela United Nations Security Council resolution 582 , adopted unanimously on 24 February 1986, after noting that the Council had been seized for six years and the continued conflict between Iran and Iraq , the Council deplored the initial acts that started the Iran–Iraq War and continuation of the conflict. The Council then condemned the escalation of the conflict, including territorial incursions, the bombing of civilian areas, attacks on neutral shipping , violation of international law and use of chemical weapons by Iraq , contrary to the Geneva Protocol of 1925. The resolution called upon Iran and Iraq to cease hositilies and observe a ceasefire , with a complete withdrawal of military forces to their internationally recognised borders, as well as an exchange of prisoners of war facilitated by the International Committee of the Red Cross . It also urged both parties to submit all aspects of the conflict immediately to mediation and requested the Secretary-General Javier Pérez de Cuéllar to continue his efforts in the mediation process. Compliance with Resolution 582 was voluntary, and both parties refused to implement it. [1] See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_582,41
